running: frame = 17091 CIA cycles (ten frames 170913), $d031 = $00
  MHz   bad     bobs   fps   render    cyc/bob     frame    frac
    1    on        8   9.8    87602      10950     17091    5.13
    1    on       32   2.9   351270      10977     17091   20.55
    1    on       64   1.0   549184       8581     17091   32.13
    1    on      100   1.0   922666       9227     17091   53.98
    1   off        8   7.8    82573      10322     17091    4.83
    1   off       32   2.9   327805      10244     17091   19.18
    1   off       64   1.0   516411       8069     17091   30.21
    1   off      100   1.0   865898       8659     17091   50.66
    4    on        8  28.2    21387       2673     17091    1.25
    4    on       32   9.8    87441       2733     17091    5.12
    4    on       64   5.9   174442       2726     17091   10.21
    4    on      100   3.9   273622       2736     17091   16.01
    4   off        8  28.1    20130       2516     17091    1.18
    4   off       32  11.8    82071       2565     17091    4.80
    4   off       64   5.9   163615       2556     17091    9.57
    4   off      100   3.9   255866       2559     17091   14.97
    8    on        8  59.7    10697       1337     17091    0.63
    8    on       32  20.5    43242       1351     17091    2.53
    8    on       64   9.8    87008       1360     17091    5.09
    8    on      100   6.8   137066       1371     17091    8.02
    8   off        8  59.6    10131       1266     17091    0.59
    8   off       32  19.4    40882       1278     17091    2.39
    8   off       64  12.6    82183       1284     17091    4.81
    8   off      100   7.8   128285       1283     17091    7.51
   14    on        8  60.4     6072        759     17091    0.36
   14    on       32  29.2    24761        774     17091    1.45
   14    on       64  19.5    49995        781     17091    2.93
   14    on      100  12.5    77826        778     17091    4.55
   14   off        8  58.6     5873        734     17091    0.34
   14   off       32  29.3    23403        731     17091    1.37
   14   off       64  19.5    46665        729     17091    2.73
   14   off      100  11.7    73070        731     17091    4.28
   24    on        8  60.0     3355        419     17091    0.20
   24    on       32  59.7    14623        457     17091    0.86
   24    on       64  30.0    28860        451     17091    1.69
   24    on      100  20.4    45490        455     17091    2.66
   24   off        8  60.1     3378        422     17091    0.20
   24   off       32  59.7    13636        426     17091    0.80
   24   off       64  29.3    27404        428     17091    1.60
   24   off      100  19.5    42709        427     17091    2.50
   48    on        8  59.8     1719        215     17091    0.10
   48    on       32  60.0     7272        227     17091    0.43
   48    on       64  59.7    14844        232     17091    0.87
   48    on      100  29.5    23027        230     17091    1.35
   48   off        8  60.2     1757        220     17091    0.10
   48   off       32  59.8     6973        218     17091    0.41
   48   off       64  60.1    13969        218     17091    0.82
   48   off      100  29.3    21790        218     17091    1.27

copy 4096 bytes at  1 MHz, badlines on : REU stash   4161  REU fetch   4489  CPU  41460  (CIA cycles)
copy 4096 bytes at  1 MHz, badlines off: REU stash   4120  REU fetch   4120  CPU  38673  (CIA cycles)
copy 4096 bytes at 48 MHz, badlines on : REU stash    796  REU fetch   1214  CPU    823  (CIA cycles)
copy 4096 bytes at 48 MHz, badlines off: REU stash    797  REU fetch   1217  CPU    823  (CIA cycles)
left running: 48 MHz, badlines off, 64 bobs, 59.3 fps, render 13963 cycles of a 17091-cycle frame
wrote hw32.png
